epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,226.92,1.14577,5.4501,0.60128,0.89546,1.6041,0.94539,0.94624,0.96829,0.59084,0.41719,0.41935,0.23034,0.0403,1.33068,5.11135,0.62003,1.02432,2.10458,0.00881401,0.00881401,0.00881401
29,235.009,1.16799,5.56332,0.59765,0.95159,1.63242,0.9568,0.95274,0.969,0.63765,0.45595,0.45161,0.272,0.05549,1.23544,5.21465,0.63577,0.87335,1.93913,0.00872857,0.00872857,0.00872857
30,243.401,1.16703,5.35138,0.59417,0.93459,1.60246,0.91455,0.92074,0.9587,0.65371,0.40307,0.43011,0.23221,0.04139,1.15419,5.09597,0.61401,0.81947,1.80776,0.0086406,0.0086406,0.0086406
31,251.588,1.17533,5.2357,0.59295,0.93967,1.62533,0.97322,0.91398,0.96497,0.63644,0.47266,0.41935,0.2966,0.05853,1.19809,5.09814,0.6355,0.78724,1.82572,0.00855018,0.00855018,0.00855018
32,260,1.19088,5.35121,0.59554,0.92365,1.65204,0.899,0.95712,0.96076,0.57649,0.48201,0.50538,0.32013,0.08542,1.36726,4.8283,0.64262,0.84744,2.08722,0.00845736,0.00845736,0.00845736
33,268.167,1.16275,5.40575,0.58441,0.93021,1.61741,0.96673,0.93734,0.97434,0.61526,0.51357,0.5109,0.35983,0.08699,1.27116,4.65523,0.60611,0.79927,1.97916,0.0083622,0.0083622,0.0083622
34,276.606,1.12267,5.02045,0.57846,0.88722,1.58955,0.97771,0.94315,0.96723,0.65588,0.62296,0.63441,0.44777,0.11677,1.15095,4.15524,0.61913,0.68814,1.85159,0.00826477,0.00826477,0.00826477
35,285.038,1.09753,4.95203,0.58671,0.84778,1.55408,0.96395,0.94624,0.97638,0.67285,0.66398,0.61619,0.49832,0.11381,1.16362,4.47851,0.60354,0.6338,1.83866,0.00816514,0.00816514,0.00816514
36,293.557,1.12597,4.99181,0.5769,0.89146,1.58038,0.9544,0.94624,0.96602,0.57693,0.51035,0.50538,0.3206,0.073,1.42858,4.73089,0.652,0.83622,2.21779,0.00806337,0.00806337,0.00806337
37,301.686,1.17785,5.12665,0.57197,0.9491,1.63951,0.87957,0.86393,0.91211,0.50996,0.49601,0.44086,0.2706,0.06266,1.51216,4.93397,0.63532,0.93599,2.27915,0.00795954,0.00795954,0.00795954
38,309.892,1.12627,5.0093,0.56299,0.84576,1.58723,0.9535,0.91398,0.9647,0.6488,0.7419,0.56989,0.53662,0.1211,1.2054,4.55778,0.62857,0.77019,1.8794,0.00785371,0.00785371,0.00785371
39,317.94,1.1055,4.65733,0.56708,0.86013,1.57149,0.96638,0.92739,0.96966,0.57988,0.63513,0.48387,0.40273,0.09526,1.28809,4.36062,0.64651,0.88914,1.99518,0.00774596,0.00774596,0.00774596
40,326.019,1.0884,4.86206,0.56182,0.83879,1.55499,0.935,0.92802,0.97703,0.63972,0.64072,0.48387,0.41325,0.11144,1.16925,4.5801,0.60876,0.79582,1.805,0.00763637,0.00763637,0.00763637
41,334.076,1.12352,4.73149,0.55321,0.89604,1.59259,0.97748,0.93331,0.97813,0.61661,0.56325,0.49924,0.37541,0.07727,1.19997,4.76508,0.58018,0.83261,1.89893,0.007525,0.007525,0.007525
42,342.442,1.12801,4.90249,0.54677,0.90552,1.58725,0.92571,0.96774,0.98455,0.71425,0.70365,0.62366,0.53151,0.16165,1.00553,4.13013,0.56879,0.65227,1.62729,0.00741194,0.00741194,0.00741194
43,350.803,1.11859,4.93428,0.54564,0.89775,1.59954,0.97846,0.97687,0.98363,0.63887,0.61483,0.53763,0.43122,0.12346,1.22662,4.23293,0.55305,0.67485,1.82316,0.00729725,0.00729725,0.00729725
44,359.131,1.11113,4.74102,0.55894,0.86306,1.57012,0.94853,0.95699,0.97785,0.61151,0.5649,0.52688,0.3902,0.08814,1.34295,4.43493,0.58654,0.72962,1.991,0.00718103,0.00718103,0.00718103
45,367.185,1.09678,4.67316,0.55726,0.86107,1.54064,0.97792,0.95232,0.97607,0.64521,0.68557,0.65591,0.51785,0.12985,1.26842,4.0227,0.55835,0.66007,1.89166,0.00706335,0.00706335,0.00706335
46,375.522,1.08216,4.6751,0.55558,0.8637,1.53733,0.99011,0.95699,0.98546,0.71371,0.67421,0.63441,0.46088,0.13523,1.06112,4.20705,0.57691,0.63306,1.69206,0.00694428,0.00694428,0.00694428
47,383.687,1.1175,4.67649,0.55209,0.86889,1.59855,1,0.96754,0.97745,0.69577,0.67683,0.65591,0.49876,0.12923,1.16246,4.27973,0.5927,0.6532,1.81406,0.00682392,0.00682392,0.00682392
48,391.864,1.1085,4.84847,0.54644,0.85252,1.58204,1,0.96295,0.98637,0.59952,0.62917,0.60215,0.43339,0.12113,1.34207,4.04489,0.58263,0.65214,2.05254,0.00670234,0.00670234,0.00670234
49,400,1.07221,4.66208,0.54563,0.83666,1.52024,0.97858,0.98271,0.98605,0.69099,0.71251,0.67742,0.52679,0.15973,1.06202,3.77819,0.57313,0.5647,1.71206,0.00657963,0.00657963,0.00657963
50,408.209,1.03202,4.58031,0.54415,0.83524,1.50086,0.99767,0.98925,0.98835,0.65911,0.67348,0.66667,0.53214,0.15768,1.22394,3.79754,0.57913,0.55283,1.90024,0.00645588,0.00645588,0.00645588
51,416.328,1.06513,4.45712,0.53633,0.82877,1.53583,0.98444,0.97849,0.98872,0.58871,0.67573,0.64516,0.51384,0.17605,1.39812,3.84952,0.60562,0.69458,2.15874,0.00633115,0.00633115,0.00633115
52,424.652,1.03496,4.23726,0.52553,0.80564,1.50009,0.97827,0.97849,0.9883,0.63543,0.67722,0.63169,0.53435,0.17989,1.27194,3.7254,0.58965,0.59746,1.92014,0.00620555,0.00620555,0.00620555
53,432.719,1.01882,4.42077,0.53064,0.77654,1.48338,0.98272,0.93548,0.98255,0.62474,0.65894,0.60215,0.46911,0.14011,1.31661,3.97753,0.58257,0.6573,1.97774,0.00607916,0.00607916,0.00607916
54,440.818,1.02598,4.36713,0.52415,0.7715,1.49295,0.98426,0.95699,0.98874,0.67289,0.71079,0.68712,0.5489,0.17294,1.15738,3.58983,0.55271,0.57604,1.76779,0.00595207,0.00595207,0.00595207
55,448.927,0.99511,4.34288,0.52937,0.77719,1.48075,0.96648,0.96774,0.99124,0.72459,0.75224,0.72043,0.63961,0.20086,1.03955,3.57544,0.54308,0.5314,1.63652,0.00582435,0.00582435,0.00582435
56,457.324,1.06228,4.44698,0.52003,0.80937,1.52549,0.95774,0.97486,0.99062,0.693,0.76552,0.74194,0.67171,0.19358,1.09792,3.69505,0.54271,0.59281,1.7092,0.0056961,0.0056961,0.0056961
57,465.644,1.0429,4.38364,0.51653,0.80857,1.55581,0.98839,0.98925,0.99272,0.66896,0.73992,0.74194,0.61352,0.17088,1.1633,3.61345,0.53463,0.5666,1.75986,0.00556742,0.00556742,0.00556742
58,473.865,1.01598,4.30653,0.5197,0.79147,1.52252,0.98264,0.96774,0.98602,0.68093,0.74332,0.73118,0.59287,0.18274,1.08903,3.54189,0.53421,0.56393,1.67864,0.00543837,0.00543837,0.00543837
59,481.925,1.00017,4.43687,0.51208,0.77323,1.49336,0.9456,0.96774,0.98042,0.64172,0.72461,0.74194,0.56683,0.16923,1.18267,3.54929,0.54375,0.55041,1.80339,0.00530906,0.00530906,0.00530906
60,490.178,1.0283,4.16604,0.51343,0.79476,1.49318,0.95816,0.98493,0.98863,0.67389,0.73702,0.69892,0.57711,0.16442,1.15177,3.49526,0.51507,0.55285,1.77905,0.00517958,0.00517958,0.00517958
61,498.372,1.04995,4.20097,0.50434,0.80986,1.53848,1,0.97821,0.98881,0.66342,0.75358,0.73118,0.58928,0.17226,1.24758,3.55096,0.48596,0.58556,1.877,0.00505,0.00505,0.00505
62,506.546,1.00604,4.37737,0.50074,0.8016,1.5029,0.99486,0.96774,0.9878,0.67946,0.78603,0.74194,0.6341,0.17737,1.19984,3.59307,0.48537,0.58306,1.80842,0.00492042,0.00492042,0.00492042
63,514.651,0.97795,4.30053,0.50452,0.7616,1.4653,1,0.97797,0.98281,0.66637,0.74021,0.72043,0.55822,0.17823,1.21327,3.65146,0.48446,0.5936,1.81088,0.00479094,0.00479094,0.00479094
64,522.73,1.01205,3.95438,0.49394,0.7851,1.49679,0.97648,0.97849,0.98859,0.64388,0.72845,0.73118,0.58358,0.17589,1.26747,3.6127,0.47892,0.54248,1.86797,0.00466163,0.00466163,0.00466163
65,531.019,1.01605,4.1076,0.49413,0.80804,1.49725,0.98761,0.96774,0.99327,0.67861,0.75698,0.73688,0.6228,0.18351,1.17452,3.47922,0.50639,0.51465,1.77331,0.00453258,0.00453258,0.00453258
66,539.224,0.96685,4.0314,0.48806,0.72709,1.45135,0.99783,0.97849,0.99255,0.66538,0.76752,0.75269,0.637,0.20926,1.21059,3.51622,0.53927,0.53177,1.80342,0.0044039,0.0044039,0.0044039
67,547.492,0.97845,4.11629,0.49718,0.76022,1.46527,0.9891,0.97531,0.99222,0.70807,0.80372,0.79258,0.6938,0.21475,1.0896,3.4037,0.49077,0.50203,1.66353,0.00427565,0.00427565,0.00427565
68,555.917,0.98156,4.01621,0.4919,0.74597,1.47221,0.97892,0.99863,0.99436,0.65746,0.78926,0.75269,0.64189,0.20908,1.18482,3.35518,0.47676,0.53287,1.80571,0.00414793,0.00414793,0.00414793
69,564.219,0.99391,4.08507,0.50034,0.74781,1.46616,0.98836,0.98925,0.99427,0.71544,0.80145,0.7957,0.68581,0.21004,1.06501,3.29562,0.45028,0.48465,1.65121,0.00402084,0.00402084,0.00402084
70,572.634,0.98878,4.17765,0.49673,0.74394,1.46556,0.97714,1,0.99468,0.71415,0.71762,0.68817,0.54244,0.16969,1.0363,3.55489,0.45819,0.47768,1.614,0.00389445,0.00389445,0.00389445
71,580.801,0.99193,3.97438,0.48105,0.74293,1.47531,0.99019,0.98925,0.99489,0.73074,0.74936,0.73942,0.60199,0.19518,1.0328,3.55116,0.4631,0.48443,1.6085,0.00376885,0.00376885,0.00376885
72,589,0.97696,4.02059,0.48931,0.74369,1.48255,0.98924,0.98889,0.99343,0.71342,0.78715,0.75556,0.66877,0.22369,1.08508,3.32821,0.46668,0.48973,1.66842,0.00364412,0.00364412,0.00364412
73,597.403,0.94631,3.89725,0.47451,0.72811,1.44615,0.98922,0.98925,0.99173,0.72147,0.82548,0.77419,0.70052,0.22857,1.04968,3.29912,0.47281,0.50323,1.63772,0.00352037,0.00352037,0.00352037
